Region/Country/Area,,Year,Series,Value
51,Armenia,2010,Sex ratio (males per 100 females),87.9414
51,Armenia,2010,Population aged 0 to 14 years old (percentage),19.4607
51,Armenia,2010,Population aged 60+ years old (percentage),14.7881
51,Armenia,2010,Population density,101.0649
51,Armenia,2017,Population mid-year estimates (millions),2.9448
51,Armenia,2017,Population mid-year estimates for males (millions),1.3854
51,Armenia,2017,Population mid-year estimates for females (millions),1.5594
51,Armenia,2017,Sex ratio (males per 100 females),88.8379
51,Armenia,2017,Population aged 0 to 14 years old (percentage),20.4544
51,Armenia,2017,Population aged 60+ years old (percentage),16.7716
51,Armenia,2017,Population density,103.4349
51,Armenia,2017,Surface area (thousand km2),29.743
51,Armenia,2019,Population mid-year estimates (millions),2.9577
51,Armenia,2019,Population mid-year estimates for males (millions),1.3913
51,Armenia,2019,Population mid-year estimates for females (millions),1.5665
51,Armenia,2019,Sex ratio (males per 100 females),88.8162
51,Armenia,2019,Population aged 0 to 14 years old (percentage),20.766
51,Armenia,2019,Population aged 60+ years old (percentage),17.9115
51,Armenia,2019,Population density,103.8894
533,Aruba,2005,Population mid-year estimates (millions),0.1
533,Aruba,2005,Population mid-year estimates for males (millions),0.0476
533,Aruba,2005,Population mid-year estimates for females (millions),0.0525
533,Aruba,2005,Sex ratio (males per 100 females),90.6966
533,Aruba,2005,Population aged 0 to 14 years old (percentage),21.4733
533,Aruba,2005,Population aged 60+ years old (percentage),12.6141
533,Aruba,2005,Population density,555.7278
533,Aruba,2010,Population mid-year estimates (millions),0.1017
533,Aruba,2010,Population mid-year estimates for males (millions),0.0485
533,Aruba,2010,Population mid-year estimates for females (millions),0.0532
533,Aruba,2010,Sex ratio (males per 100 females),91.0996
533,Aruba,2010,Population aged 0 to 14 years old (percentage),20.8736
533,Aruba,2010,Population aged 60+ years old (percentage),15.4796
533,Aruba,2010,Population density,564.8278
533,Aruba,2017,Population mid-year estimates (millions),0.1054
533,Aruba,2017,Population mid-year estimates for males (millions),0.05
533,Aruba,2017,Population mid-year estimates for females (millions),0.0553
533,Aruba,2017,Sex ratio (males per 100 females),90.4298
533,Aruba,2017,Population aged 0 to 14 years old (percentage),17.9802
533,Aruba,2017,Population aged 60+ years old (percentage),19.7009
533,Aruba,2017,Population density,585.3667
533,Aruba,2017,Surface area (thousand km2),0.18
533,Aruba,2019,Population mid-year estimates (millions),0.1063
533,Aruba,2019,Population mid-year estimates for males (millions),0.0504
533,Aruba,2019,Population mid-year estimates for females (millions),0.0559
533,Aruba,2019,Sex ratio (males per 100 females),90.2912
533,Aruba,2019,Population aged 0 to 14 years old (percentage),17.6204
533,Aruba,2019,Population aged 60+ years old (percentage),21.0612
533,Aruba,2019,Population density,590.6333
36,Australia,2005,Population mid-year estimates (millions),20.1785
36,Australia,2005,Population mid-year estimates for males (millions),10.0701
36,Australia,2005,Population mid-year estimates for females (millions),10.1085
36,Australia,2005,Sex ratio (males per 100 females),99.6201
36,Australia,2005,Population aged 0 to 14 years old (percentage),19.8148
36,Australia,2005,Population aged 60+ years old (percentage),17.4165
36,Australia,2005,Population density,2.6266
36,Australia,2010,Population mid-year estimates (millions),22.1547
36,Australia,2010,Population mid-year estimates for males (millions),11.0794
36,Australia,2010,Population mid-year estimates for females (millions),11.0753
36,Australia,2010,Sex ratio (males per 100 females),100.0366
36,Australia,2010,Population aged 0 to 14 years old (percentage),19.0323
36,Australia,2010,Population aged 60+ years old (percentage),18.8436
36,Australia,2010,Population density,2.8839
36,Australia,2017,Population mid-year estimates (millions),24.5846
36,Australia,2017,Population mid-year estimates for males (millions),12.2436
36,Australia,2017,Population mid-year estimates for females (millions),12.341
36,Australia,2017,Sex ratio (males per 100 females),99.2113
36,Australia,2017,Population aged 0 to 14 years old (percentage),19.065
36,Australia,2017,Population aged 60+ years old (percentage),20.8116
36,Australia,2017,Population density,3.2002
36,Australia,2017,Surface area (thousand km2),7692.06
36,Australia,2019,Population mid-year estimates (millions),25.2032
36,Australia,2019,Population mid-year estimates for males (millions),12.5513
36,Australia,2019,Population mid-year estimates for females (millions),12.6519
36,Australia,2019,Sex ratio (males per 100 females),99.205
36,Australia,2019,Population aged 0 to 14 years old (percentage),19.2754
36,Australia,2019,Population aged 60+ years old (percentage),21.4395
36,Australia,2019,Population density,3.2807
40,Austria,2005,Population mid-year estimates (millions),8.2537
40,Austria,2005,Population mid-year estimates for males (millions),4.0121
40,Austria,2005,Population mid-year estimates for females (millions),4.2416
40,Austria,2005,Sex ratio (males per 100 females),94.5884
40,Austria,2005,Population aged 0 to 14 years old (percentage),15.9718
40,Austria,2005,Population aged 60+ years old (percentage),22.0952
40,Austria,2005,Population density,100.1547
40,Austria,2010,Population mid-year estimates (millions),8.4099
40,Austria,2010,Population mid-year estimates for males (millions),4.0986
40,Austria,2010,Population mid-year estimates for females (millions),4.3113
40,Austria,2010,Sex ratio (males per 100 females),95.0674
40,Austria,2010,Population aged 0 to 14 years old (percentage),14.7167
40,Austria,2010,Population aged 60+ years old (percentage),23.2676
40,Austria,2010,Population density,102.0513
40,Austria,2017,Population mid-year estimates (millions),8.8199
40,Austria,2017,Population mid-year estimates for males (millions),4.3302
40,Austria,2017,Population mid-year estimates for females (millions),4.4897
40,Austria,2017,Sex ratio (males per 100 females),96.447
40,Austria,2017,Population aged 0 to 14 years old (percentage),14.2309
40,Austria,2017,Population aged 60+ years old (percentage),24.7457
40,Austria,2017,Population density,107.0259
40,Austria,2017,Surface area (thousand km2),83.871
40,Austria,2019,Population mid-year estimates (millions),8.9551
40,Austria,2019,Population mid-year estimates for males (millions),4.4094
40,Austria,2019,Population mid-year estimates for females (millions),4.5457
40,Austria,2019,Sex ratio (males per 100 females),97.0005
40,Austria,2019,Population aged 0 to 14 years old (percentage),14.3619
40,Austria,2019,Population aged 60+ years old (percentage),25.3214
40,Austria,2019,Population density,108.6666
31,Azerbaijan,2005,Population mid-year estimates (millions),8.5386
31,Azerbaijan,2005,Population mid-year estimates for males (millions),4.2068
31,Azerbaijan,2005,Population mid-year estimates for females (millions),4.3318
31,Azerbaijan,2005,Sex ratio (males per 100 females),97.1145
31,Azerbaijan,2005,Population aged 0 to 14 years old (percentage),26.2295
31,Azerbaijan,2005,Population aged 60+ years old (percentage),8.521
31,Azerbaijan,2005,Population density,103.3004
31,Azerbaijan,2010,Population mid-year estimates (millions),9.0325
31,Azerbaijan,2010,Population mid-year estimates for males (millions),4.4751
31,Azerbaijan,2010,Population mid-year estimates for females (millions),4.5574
31,Azerbaijan,2010,Sex ratio (males per 100 females),98.1945
31,Azerbaijan,2010,Population aged 0 to 14 years old (percentage),22.8353
31,Azerbaijan,2010,Population aged 60+ years old (percentage),8.1149
31,Azerbaijan,2010,Population density,109.2751
31,Azerbaijan,2017,Population mid-year estimates (millions),9.8453
31,Azerbaijan,2017,Population mid-year estimates for males (millions),4.9074
31,Azerbaijan,2017,Population mid-year estimates for females (millions),4.9379
31,Azerbaijan,2017,Sex ratio (males per 100 females),99.3816
31,Azerbaijan,2017,Population aged 0 to 14 years old (percentage),23.2877
31,Azerbaijan,2017,Population aged 60+ years old (percentage),10.0693
31,Azerbaijan,2017,Population density,119.1091
31,Azerbaijan,2017,Surface area (thousand km2),86.6
31,Azerbaijan,2019,Population mid-year estimates (millions),10.0477
31,Azerbaijan,2019,Population mid-year estimates for males (millions),5.0158
31,Azerbaijan,2019,Population mid-year estimates for females (millions),5.0319
31,Azerbaijan,2019,Sex ratio (males per 100 females),99.681
31,Azerbaijan,2019,Population aged 0 to 14 years old (percentage),23.4419
31,Azerbaijan,2019,Population aged 60+ years old (percentage),11.0734
31,Azerbaijan,2019,Population density,121.5577
44,Bahamas,2005,Population mid-year estimates (millions),0.3249
44,Bahamas,2005,Population mid-year estimates for males (millions),0.1578
44,Bahamas,2005,Population mid-year estimates for females (millions),0.1671
44,Bahamas,2005,Sex ratio (males per 100 females),94.4324
44,Bahamas,2005,Population aged 0 to 14 years old (percentage),28.1091
44,Bahamas,2005,Population aged 60+ years old (percentage),8.6268
44,Bahamas,2005,Population density,32.4534
44,Bahamas,2010,Population mid-year estimates (millions),0.3549
44,Bahamas,2010,Population mid-year estimates for males (millions),0.172
44,Bahamas,2010,Population mid-year estimates for females (millions),0.1829
44,Bahamas,2010,Sex ratio (males per 100 females),94.0294
44,Bahamas,2010,Population aged 0 to 14 years old (percentage),26.8838
44,Bahamas,2010,Population aged 60+ years old (percentage),9.0071
44,Bahamas,2010,Population density,35.4587
44,Bahamas,2017,Population mid-year estimates (millions),0.3818
44,Bahamas,2017,Population mid-year estimates for males (millions),0.1854
44,Bahamas,2017,Population mid-year estimates for females (millions),0.1964
44,Bahamas,2017,Sex ratio (males per 100 females),94.4079
44,Bahamas,2017,Population aged 0 to 14 years old (percentage),22.8741
44,Bahamas,2017,Population aged 60+ years old (percentage),10.8991
44,Bahamas,2017,Population density,38.1374
44,Bahamas,2017,Surface area (thousand km2),13.94
44,Bahamas,2019,Population mid-year estimates (millions),0.3895
44,Bahamas,2019,Population mid-year estimates for males (millions),0.1892
44,Bahamas,2019,Population mid-year estimates for females (millions),0.2003
44,Bahamas,2019,Sex ratio (males per 100 females),94.494
44,Bahamas,2019,Population aged 0 to 14 years old (percentage),22.0757
44,Bahamas,2019,Population aged 60+ years old (percentage),11.7305
44,Bahamas,2019,Population density,38.9093
48,Bahrain,2005,Population mid-year estimates (millions),0.8892
48,Bahrain,2005,Population mid-year estimates for males (millions),0.5341
48,Bahrain,2005,Population mid-year estimates for females (millions),0.355
48,Bahrain,2005,Sex ratio (males per 100 females),150.4548
48,Bahrain,2005,Population aged 0 to 14 years old (percentage),25.6844
48,Bahrain,2005,Population aged 60+ years old (percentage),3.4373
48,Bahrain,2005,Population density,1169.9526
48,Bahrain,2010,Population mid-year estimates (millions),1.2409
48,Bahrain,2010,Population mid-year estimates for males (millions),0.7741
48,Bahrain,2010,Population mid-year estimates for females (millions),0.4668
48,Bahrain,2010,Sex ratio (males per 100 females),165.8161
48,Bahrain,2010,Population aged 0 to 14 years old (percentage),20.3116
48,Bahrain,2010,Population aged 60+ years old (percentage),3.5461
48,Bahrain,2010,Population density,1632.7105
48,Bahrain,2017,Population mid-year estimates (millions),1.4941
48,Bahrain,2017,Population mid-year estimates for males (millions),0.9399
48,Bahrain,2017,Population mid-year estimates for females (millions),0.5542
48,Bahrain,2017,Sex ratio (males per 100 females),169.5785
48,Bahrain,2017,Population aged 0 to 14 years old (percentage),19.8415
48,Bahrain,2017,Population aged 60+ years old (percentage),4.6051
48,Bahrain,2017,Population density,1965.8895
48,Bahrain,2017,Surface area (thousand km2),0.771
48,Bahrain,2019,Population mid-year estimates (millions),1.6412
48,Bahrain,2019,Population mid-year estimates for males (millions),1.0548
48,Bahrain,2019,Population mid-year estimates for females (millions),0.5864
48,Bahrain,2019,Sex ratio (males per 100 females),179.8868
48,Bahrain,2019,Population aged 0 to 14 years old (percentage),18.7187
48,Bahrain,2019,Population aged 60+ years old (percentage),5.1096
48,Bahrain,2019,Population density,2159.4368
50,Bangladesh,2005,Population mid-year estimates (millions),139.0355
50,Bangladesh,2005,Population mid-year estimates for males (millions),71.2216
50,Bangladesh,2005,Population mid-year estimates for females (millions),67.8139
50,Bangladesh,2005,Sex ratio (males per 100 females),105.0251
50,Bangladesh,2005,Population aged 0 to 14 years old (percentage),34.3646
50,Bangladesh,2005,Population aged 60+ years old (percentage),6.6508
50,Bangladesh,2005,Population density,1068.1071
50,Bangladesh,2010,Population mid-year estimates (millions),147.5754
50,Bangladesh,2010,Population mid-year estimates for males (millions),75.0157
50,Bangladesh,2010,Population mid-year estimates for females (millions),72.5597
50,Bangladesh,2010,Sex ratio (males per 100 females),103.3847
50,Bangladesh,2010,Population aged 0 to 14 years old (percentage),31.9869
50,Bangladesh,2010,Population aged 60+ years old (percentage),7.0118
50,Bangladesh,2010,Population density,1133.7131
50,Bangladesh,2017,Population mid-year estimates (millions),159.6854
50,Bangladesh,2017,Population mid-year estimates for males (millions),80.8691
50,Bangladesh,2017,Population mid-year estimates for females (millions),78.8164
50,Bangladesh,2017,Sex ratio (males per 100 females),102.6044
50,Bangladesh,2017,Population aged 0 to 14 years old (percentage),28.2246
50,Bangladesh,2017,Population aged 60+ years old (percentage),7.4013
50,Bangladesh,2017,Population density,1226.7452
50,Bangladesh,2017,Surface area (thousand km2),147.57
50,Bangladesh,2019,Population mid-year estimates (millions),163.0462
50,Bangladesh,2019,Population mid-year estimates for males (millions),82.4738
50,Bangladesh,2019,Population mid-year estimates for females (millions),80.5724
50,Bangladesh,2019,Sex ratio (males per 100 females),102.3599
50,Bangladesh,2019,Population aged 0 to 14 years old (percentage),27.2144
50,Bangladesh,2019,Population aged 60+ years old (percentage),7.7418
50,Bangladesh,2019,Population density,1252.5633
52,Barbados,2005,Population mid-year estimates (millions),0.2763
52,Barbados,2005,Population mid-year estimates for males (millions),0.1326
52,Barbados,2005,Population mid-year estimates for females (millions),0.1437
52,Barbados,2005,Sex ratio (males per 100 females),92.3243
52,Barbados,2005,Population aged 0 to 14 years old (percentage),20.5633
52,Barbados,2005,Population aged 60+ years old (percentage),16.1485
52,Barbados,2005,Population density,642.6116
52,Barbados,2010,Population mid-year estimates (millions),0.2821
52,Barbados,2010,Population mid-year estimates for males (millions),0.1354
52,Barbados,2010,Population mid-year estimates for females (millions),0.1467
52,Barbados,2010,Sex ratio (males per 100 females),92.2594
52,Barbados,2010,Population aged 0 to 14 years old (percentage),19.743
52,Barbados,2010,Population aged 60+ years old (percentage),18.0859
52,Barbados,2010,Population density,656.1186
52,Barbados,2017,Population mid-year estimates (millions),0.2862
52,Barbados,2017,Population mid-year estimates for males (millions),0.1382
52,Barbados,2017,Population mid-year estimates for females (millions),0.148
